sample,THCA,OV,LUSC,LIHC,HNSC,UCEC,BRCA,LUAD,SKCM,STAD,CRC,ESCA,GBM,KIRC,CESC,KIRP,PRAD,BLCA,PAAD,LGG
CLN5,5.7924,4.533,4.0948,3.287,2.9855,4.0206,4.0619,4.2181,4.1235,3.0561,3.755,2.7742,2.6783,5.2154,4.0127,4.9626,4.3417,3.5136,3.9203,2.6783
ELF1,5.1696,4.0135,4.9494,3.106,4.7176,4.174,5.0605,4.8202,4.794,4.4915,5.0027,4.1482,2.3704,4.5195,3.8561,4.2592,4.7212,4.4263,4.8813,2.3704
TSFM,4.3519,3.6295,4.0536,4.6038,4.4784,4.2965,4.4706,4.0401,4.8699,3.5754,4.7399,3.1162,4.585,5.0068,4.2001,5.1053,4.3601,4.3937,4.2866,4.585
PSKH2,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.209,0.0014,0.1776,0.0014,0.0014,0.0014,0.0014
FAHD1,3.5287,2.5791,3.3264,4.5368,3.908,3.4791,3.4752,3.325,3.6474,3.783,4.796,2.7336,3.7888,5.097,3.4596,5.5101,3.8891,3.597,3.6544,3.7888
KANSL2,3.9598,4.6253,3.8626,2.3465,3.5442,4.2684,4.0401,3.8054,4.3737,2.9938,3.4556,2.7889,3.5374,3.8719,3.8876,3.8693,3.8905,3.7731,3.9484,3.5374
ZFPM2,2.667,4.0458,1.7031,0.5858,0.3573,2.3843,1.9639,1.4962,0.605,1.0603,0.7999,1.0573,2.081,0.8367,2.8622,0.8286,0.5069,1.7575,1.5341,2.081
ZDHHC16,3.9956,4.2041,4.6525,3.7127,3.9289,4.0756,4.1523,4.7719,4.0943,3.7469,4.2017,3.3018,3.839,4.271,4.197,4.3788,4.24,3.8896,4.3169,3.839
RAB11B,7.1702,6.3781,6.048,5.3359,5.497,6.264,5.7795,6.1379,5.5049,6.2495,6.077,5.7955,6.5076,6.0034,6.2497,6.5012,6.3049,6.0365,6.2525,6.5076
SNURF,3.8983,2.4636,2.7122,0.4016,2.0199,1.5758,3.1112,2.4332,2.9318,1.7539,1.5902,1.0642,5.4852,4.7524,1.5215,3.2035,3.148,2.2989,1.4348,5.4852
SCG5,3.1162,1.4308,0.7621,2.4916,0.3376,2.2019,2.6624,0.8805,1.0222,1.7679,2.5972,1.2576,7.6883,0.7706,1.1447,0.4123,1.924,0.7146,5.1533,7.6883
LENEP,0.1257,0.2522,0.0066,0.0014,0.0014,0.0014,0.058,0.0014,0.058,0.044,0.0014,0.0718,0.0014,0.0014,0.0014,0.044,0.058,0.0014,0.0121,0.0014
USP38,2.8381,1.8899,2.8552,2.3536,2.6441,2.3871,2.8838,2.9032,2.3621,2.6383,3.1797,2.7909,2.2051,3.127,2.2813,2.8482,2.7003,2.4008,2.4609,2.2051
MBTD1,2.6602,3.4945,2.0655,1.4834,1.8036,2.6828,3.0056,2.1925,2.043,1.9224,2.2573,1.9639,1.7702,2.2328,2.1114,2.0353,2.2901,1.9527,2.5363,1.7702
